CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO38454;5/12/2023;5/12/2023;5/12/2023;Collecte;j364urbaz5;A NE_T01_TRONC MEY S2_MAR VEN_CS_110004;13210;1433;;;73;18369;15,76;14;0,02;29,76;GAM;110004;A NE;T01;MAR VEN;CS
AUTO38456;5/12/2023;5/12/2023;5/12/2023;Collecte;0jbxz085fw;NO_T10_GRE VALLIER_MAR_OMR_151010;0;895;;;;10817;0;42,53;;42,53;GAM;151010;NO;T10;MAR;OMR
AUTO38457;5/12/2023;5/12/2023;5/12/2023;Collecte;claael2j88;NO_T01_FONTAINE_MAR_OMR_131001;143;3546;60;;143;18603;0,1;41,33;0,1;41,43;GAM;131001;NO;T01;MAR;OMR
AUTO38480;5/12/2023;5/12/2023;5/12/2023;Collecte;o9wlc4qekx;;315;1279;;;315;21600;0,29;84,35;0,29;84,64;GAM;;;;;
AUTO38458;5/12/2023;5/12/2023;5/12/2023;Collecte;ih6g9vhdlz;NO_T07_ST EGREVE SUD_MAR_OMR_142007;222;2568;17673;;222;37716;0,12;51,36;0,12;51,48;GAM;142007;NO;T07;MAR;OMR
AUTO38459;5/12/2023;5/12/2023;5/12/2023;Collecte;h7qn96fkxd;NE_T07_SMH_COLLECTIF_MAR_CS_101013;8301;500;2959;;45;18005;10,11;33,68;0;43,79;GAM;101013;NE;T07;COLLECTIF;MAR
AUTO38460;5/12/2023;5/12/2023;5/12/2023;Collecte;FnZSedjmt4;NE_T18_GRE ESPLANADE J JAURES_LUN JEU_OMR_110021;8983;60;7572;;20;21465;9,68;22,51;0;32,19;GAM;110021;NE;T18;LUN JEU;OMR
AUTO38461;5/12/2023;5/12/2023;5/12/2023;Collecte;qshw7egqjb;NE_T16_GRE BROC VILLEBOIS POT_MAR VEN_CS_110025;8374;839;634;;626;17259;8,6;20,37;0,04;28,97;GAM;110025;NE;T16;MAR VEN;CS
AUTO38462;5/12/2023;5/12/2023;5/12/2023;Collecte;egru8o9gip;NE_T04_DOMENE EST_MAR VEN_OMR_112009;11376;2;;;48;16113;20,85;37,37;0,03;58,22;GAM;112009;NE;T04;MAR VEN;OMR
AUTO38463;5/12/2023;5/12/2023;5/12/2023;Collecte;7lqyjw34p3;NO_T08_ST MARTIN LE VI_MAR_OMR_143008;7894;60;381;;156;18982;12,73;62,77;0,05;75,5;GAM;143008;NO;T08;MAR;OMR
AUTO38464;5/12/2023;5/12/2023;5/12/2023;Collecte;duh6ayfpwb;NO_T09_GRE MARTYRS_MAR VEN_OMR_151005;4594;2147;1483;;;18510;4,56;38,98;;43,54;GAM;151005;NO;T09;MAR VEN;OMR
AUTO38465;5/12/2023;5/12/2023;5/12/2023;Autre;RJCrNlKBLn;NO_TSAV_MAINTENANCE;172;1101;1163;;172;16544;0,1;46,24;0,1;46,34;GAM;;NO;TSAV;;
AUTO38466;5/12/2023;5/12/2023;5/12/2023;Collecte;AhnI9sMNTj;NO_T01_FONTAINE_MAR_OMR_131001;12039;388;1395;;158;21388;18,69;52,9;0,12;71,59;GAM;131001;NO;T01;MAR;OMR
AUTO38467;5/12/2023;5/12/2023;5/12/2023;Collecte;3xwgytolne;NO_T16_GRE 20EME RENF_MAR_OMR_151999;171;1995;;;171;16240;0,1;40,45;0,1;40,55;GAM;151999;NO;T16;MAR;OMR
AUTO121036;19/12/2023;19/12/2023;19/12/2023;Collecte;nZpkUZ9xvj;SUD_T05_GREN SUD1_MAR_DALIM_1719;0;;;;;17564;0;59,64;;59,64;Eco-dechet;;;;;
AUTO121046;19/12/2023;19/12/2023;19/12/2023;Collecte;ZwYrotlxXp;SMH N 1725 MAR DALIM;0;;;;;12280;0;73,31;;73,31;Eco-dechet;;;;;
AUTO121051;19/12/2023;19/12/2023;;Collecte;6C1GvVqYtY;MEYLAN - MAR - 1714;0;;;;;0;0;95,3;;95,3;Eco-dechet;;;;;
AUTO121054;19/12/2023;19/12/2023;;Collecte;FKMniUL5qh;GRE Ile Verte 1721 MAR DALIM;0;;;;;0;0;18,29;;18,29;Eco-dechet;;;;;
AUTO121075;19/12/2023;19/12/2023;;Collecte;fzAkY8m169;;0;;;;;0;0;45,71;;45,71;Eco-dechet;;;;;
AUTO39205;19/12/2023;19/12/2023;19/12/2023;Collecte;y7gjux7fmc;NO_T11_GRE GARE LIBERA_MAR_OMR_151008;10864;614;60;;122;20244;11,86;50,41;0,2;62,27;GAM;151008;NO;T11;MAR;OMR
AUTO39206;19/12/2023;19/12/2023;19/12/2023;Collecte;uzqctwc7pp;NE_T19_GRE CONDORCET G RAMBAUD_MAR VEN_CS_110022;49;1778;2958;;49;21550;0,03;52,6;0,03;52,63;GAM;110022;NE;T19;MAR VEN;CS
AUTO39207;19/12/2023;19/12/2023;19/12/2023;Collecte;ighzc1n730;NO_T04_SASSENAGE_MAR_OMR_133004;2592;1380;;;;21356;3,37;81,88;;85,25;GAM;133004;NO;T04;MAR;OMR
AUTO39208;19/12/2023;19/12/2023;19/12/2023;Collecte;ukgs1JXztl;NO_T02_FONTAINE_MAR_OMR_131003;9429;788;1929;;191;19896;12,83;54,39;0,16;67,22;GAM;131003;NO;T02;MAR;OMR
AUTO39209;19/12/2023;19/12/2023;19/12/2023;Collecte;bba8ef2dvl;NO_T03_SASSENAGE FONT_MAR_OMR_130011;12449;128;;;368;22723;16,49;56,32;0,22;72,81;GAM;130011;NO;T03;MAR;OMR
AUTO39210;19/12/2023;19/12/2023;19/12/2023;Collecte;ux94b14wke;NO_T06_ST EGREVE N_MAR VEN_OMR_142006;8653;60;1984;;65;17571;19,2;36,97;0,07;56,17;GAM;142006;NO;T06;MAR VEN;OMR
